Date,Mouse #,Cage #,ZT,Sex,Group,Plated Volume (uL),Plated Beads Volume (uL),Bead Stock Conc (beads/uL),Well Bead Conc (beads/uL),Conversion Factor (Divide Cell Events by this to get conc per well),Counting Beads | Count,Total Event Count,Microglia Events,CD206+ Microglia Events,Monocytes_DC Events,Neutrophil Events,TB Focus Viability %,Total Lymphocyte Events (in TB Focus),T-Cell Events,TCRgd T Cell Events,TCRb+ T Cell Events,CD8+ T Cell Events,CD4+ T Cell Events,CD-- T Cell Events,B Cell Events,Total Lymphocytes (Test Screen),,Microglia Counts,CD206+ Microglia Counts,% CD206+ Microglia,Monocytes_DC Counts,Neutrophil Counts,TB Focus Viability %,Total Lymphocyte Counts (in TB Focus),T-Cell Counts,TCRgd T Cell Counts,TCRb+ T Cell Counts,CD8+ T Cell Counts,CD4+ T Cell Counts,CD-- T Cell Counts,B Cell Counts,Total Lymphocytes (Test Screen)
9/13/2024,5,3xTg_7.3B,18,F,3-3xTg-9,200,25,980,122.5,121.3795918,14869,109704,2991,2382,171,52,26.1,2780,140,2,129,88,36,4,50,2008,,4928.340843,3924.877261,79.63891675,281.7607102,85.68161948,26.1,4580.671195,230.6812832,3.295446903,212.5563252,144.9996637,59.31804425,6.590893806,82.38617257,3308.628691
9/13/2024,6,3xTg_7.3B,18,F,3-3xTg-9,200,25,980,122.5,120.4653061,14757,116552,3879,3038,170,120,24.1,3816,105,0,97,57,35,5,76,2982,,6440.028461,5043.775835,78.31915442,282.2389375,199.2274853,24.1,6335.434031,174.3240496,0,161.0422173,94.6330555,58.10801653,8.301145219,126.1774073,4950.803009
9/13/2024,7,Aged_37B,18,F,4-WT-18,200,25,980,122.5,118.6040816,14529,181896,2808,2015,1203,1329,73.9,4406,374,0,346,206,109,30,258,3954,,4735.081561,3397.859454,71.75925926,2028.597976,2241.069585,73.9,7429.761167,630.6696951,0,583.4537821,347.3742171,183.8048042,50.58847822,435.0609127,6667.561429
9/13/2024,8,Aged_37B,18,F,4-WT-18,200,25,980,122.5,122.922449,15058,239592,7786,5746,579,317,56.8,6925,332,3,315,205,89,21,184,5314,,12668.14982,9348.983929,73.79912664,942.0573781,515.7723469,56.8,11267.26657,540.1779785,4.881126312,512.5182627,333.5436313,144.8067472,34.16788418,299.3757471,8646.10174
9/13/2024,9,Aged_36A,18,M,4-WT-18,200,25,980,122.5,133.8367347,16395,174816,3079,2230,1092,2740,73.6,5443,535,5,509,277,183,48,709,5991,,4601.128393,3332.41842,72.42611237,1631.838975,4094.541019,73.6,8133.79079,799.4815493,7.47179018,760.6282403,413.937176,273.4675206,71.72918573,1059.499848,8952.698994
9/13/2024,10,Aged_36A,18,M,4-WT-18,200,25,980,122.5,121.1510204,14841,236920,5117,3713,683,575,50.4,5596,373,1,365,249,96,17,637,4609,,8447.308133,6129.539788,72.56204808,1127.518361,949.2284886,50.4,9238.056735,615.7603935,1.650832154,602.5537363,411.0572064,158.4798868,28.06414662,1051.580082,7608.685399
9/18/2024,1,6M_1A,18,M,1-WT-6,200,25,980,122.5,138.7265306,16994,127232,4032,3126,341,188,25.8,3928,219,3,188,115,53,20,142,3082,,5812.875132,4506.70825,77.5297619,491.6146875,271.0368365,25.8,5662.939861,315.7290809,4.325055902,271.0368365,165.7938096,76.40932094,28.83370601,204.7193127,4443.274097
9/18/2024,2,6M_1A,18,M,1-WT-6,200,25,980,122.5,138.4408163,16959,150040,5106,3982,495,255,25.6,5013,165,6,135,73,52,10,318,3942,,7376.43729,5752.638717,77.98668233,715.1070228,368.3884663,25.6,7242.083849,238.3690076,8.667963913,195.029188,105.4602276,75.12235391,14.44660652,459.4020874,5694.852291
9/18/2024,3,3xTg_7.3B,18,F,3-3xTg-9,200,25,980,122.5,142.3591837,17439,192048,4799,3618,570,143,15.2,4856,496,5,459,244,170,45,185,3650,,6742.101038,5082.917598,75.3907064,800.7913298,200.900281,15.2,6822.180171,696.8289466,7.024485349,644.847755,342.794885,238.8325019,63.22036814,259.9059579,5127.874305
9/18/2024,5,Aged_38A,18,M,4-WT-18,200,25,980,122.5,138.4,16954,309784,4826,3610,1411,541,35.4,6401,508,8,464,299,147,18,797,5296,,6973.988439,5216.763006,74.80314961,2039.017341,781.7919075,35.4,9250,734.1040462,11.56069364,670.5202312,432.0809249,212.4277457,26.01156069,1151.734104,7653.179191
9/18/2024,6,Aged_37A,6,M,4-WT-18,200,25,980,122.5,138.8979592,17015,200352,3884,2881,896,367,15.7,5433,597,7,572,328,214,20,710,4461,,5592.594769,4148.369086,74.17610711,1290.155745,528.4454893,15.7,7823.00911,859.6238613,10.07934176,823.6262122,472.2891566,308.1398766,28.79811931,1022.333235,6423.420511
