Date,Mouse #,Cage #,ZT,Sex,Group,Plated Volume (uL),Plated Beads Volume (uL),Bead Stock Conc (beads/uL),Well Bead Conc (beads/uL),Conversion Factor (Divide Cell Events by this to get conc per well),Counting Bead Events,Total Events,Monocyte/DC Events,MHCII(int) LY-6C+ Events,MHCII+ LY-6C(lo) Events,MHCII- LY-6C(lo) Events,Neutrophil Events,CD45R- (NK Precursor) Events,NK Cell Events,NKT Cell Events,T Cell Events,TCRgd Events,TCRb Events,CD8 Events,CD4 Events,CD-- Events,B Cell Events,Total CD45+ Events,,Monocyte/DC Cells,MHCII(int) LY-6C+ Cells,MHCII+ LY-6C(lo) Cells,MHCII- LY-6C(lo) Cells,Neutrophil Cells,CD45R- (NK Precursor) Cells,NK Cell Cells,NKT Cell Cells,T Cell Cells,TCRgd Cells,TCRb Cells,CD8 Cells,CD4 Cells,CD-- Cells,B Cell Cells,Total CD45+ Cells,,Major Grouping Total,Major Grouping Average,,% Adjustment for Day,,,Adjusted Cell Counts,Monocyte/DC Cells (Adjusted),MHCII(int) LY-6C+ Cells (Adjusted),MHCII+ LY-6C(lo) Cells (Adjusted),MHCII- LY-6C(lo) Cells (Adjusted),Neutrophil Cells (Adjusted),CD45R- (NK Precursor) Cells (Adjusted),NK Cell Cells (Adjusted),NKT Cell Cells (Adjusted),T Cell Cells (Adjusted),TCRgd Cells (Adjusted),TCRb Cells (Adjusted),CD8 Cells (Adjusted),CD4 Cells (Adjusted),CD-- Cells (Adjusted),B Cell Cells (Adjusted),Total CD45+ Cells (Adjusted)
9/13/2024,1,6M_1B,18,F,1-WT-6,200,25,980,122.5,137.5918367,16855,158472,1561,63,1390,32,91,828,45,77,387,16,339,85,211,40,148,1016,,2269.029961,91.57520024,2020.468704,46.51438742,132.2752892,1203.559775,65.41085731,111.9252447,562.5333729,23.25719371,492.7617918,123.5538416,306.7042421,58.14298428,215.1290418,1476.831801,,3356.303767,559.3839612,,1/9/2025,1.933528102,,,2348.003724,94.76248212,2090.791272,48.13332425,136.8791408,1245.449765,67.68748723,115.8208115,582.1123901,24.06666213,509.9124038,127.8541425,317.3791068,60.16665531,222.6166247,1528.233045
9/13/2024,2,6M_1B,18,F,1-WT-6,200,25,980,122.5,129.9836735,15923,164184,1240,83,1082,43,106,559,24,29,311,8,283,91,178,13,253,967,,1907.931922,127.7083464,1664.824468,66.16215537,163.0974063,860.1080198,36.92771463,44.62098851,478.5216354,12.30923821,435.4393016,140.0175846,273.8805501,20.00251209,389.2796584,1487.879168,,3020.379326,503.3965543,,1/10/2025,1.318734635,,,1974.33764,132.1532452,1722.768811,68.46493427,168.774024,890.0441456,38.21298657,46.17402544,495.1766177,12.73766219,450.5948,144.8909074,283.4129837,20.69870106,402.8285668,1539.664917
9/13/2024,3,6M_2B,6,F,1-WT-6,200,25,980,122.5,127.3061224,15595,96744,1532,88,1362,44,78,350,18,31,158,8,141,26,90,25,84,662,,2406.79705,138.2494389,2139.724271,69.12471946,122.5392754,549.855723,28.27829433,48.70150689,248.2205835,12.56813081,221.5133055,40.84642514,141.3914716,39.27540878,131.9653735,1040.012825,,2986.502084,497.7503473,,1/13/2025,1.429342549,,,2490.565807,143.0612213,2214.197538,71.53061063,126.8042643,568.9934937,29.26252253,50.39656658,256.85992,13.00556557,229.2230932,42.2680881,146.3126127,40.64239241,136.5584385,1076.210551
9/13/2024,4,6M_2B,6,F,1-WT-6,200,25,980,122.5,120.0816327,14710,117704,1090,197,777,53,525,414,29,39,199,13,172,49,96,24,295,1228,,1815.431679,328.1101292,1294.119646,88.27328348,874.4051666,689.5309313,48.30047587,64.95581237,331.4411965,21.65193746,286.4717879,81.61114888,159.8912305,39.97280761,491.3324269,2045.275323,,3625.866757,604.3111262,,1/14/2025,1.423978237,,,1878.617918,339.5300274,1339.16158,91.34564189,904.8389056,713.5301084,49.98157764,67.21660441,342.9770328,22.4055348,296.4424605,84.45163119,165.456257,41.36406425,508.4332898,2116.461288
9/13/2024,5,3xTg_7.3B,18,F,3-3xTg-9,200,25,980,122.5,118.7428571,14546,179168,2219,171,1924,45,502,1093,33,59,414,9,365,135,183,45,393,1762,,3737.487969,288.0173244,3240.615977,75.79403272,845.5245428,1840.952839,55.58229066,99.37439846,697.3051011,15.15880654,614.773821,227.3820982,308.2290664,75.79403272,661.9345525,2967.757459,,6097.208855,1016.201476,,1/16/2025,1.441034151,,,3867.571525,298.0417895,3353.405865,78.43204986,874.9530895,1905.027344,57.51683656,102.833132,721.5748587,15.68640997,636.1710711,235.2961496,318.9570027,78.43204986,684.9732354,3071.050485
9/13/2024,6,3xTg_7.3B,18,F,3-3xTg-9,200,25,980,122.5,124.5877551,15262,101312,1022,54,931,14,167,438,15,28,238,3,209,66,115,15,146,749,,1640.610667,86.68588652,1494.528895,22.47411873,268.0841305,703.1188573,24.07941292,44.94823745,382.0600183,4.815882584,335.5064867,105.9494169,184.6088324,24.07941292,234.3729524,1202.365352,,2594.155419,432.3592364,,,,,,1697.712247,89.70299546,1546.546088,23.25633216,277.4148193,727.5909631,24.91749874,46.51266431,395.3576466,4.983499748,347.1838157,109.6369944,191.034157,24.91749874,242.530321,1244.21377
9/13/2024,7,Aged_37B,18,F,4-WT-18,200,25,980,122.5,120.7428571,14791,160048,1548,238,1122,106,507,681,40,26,331,11,297,134,113,46,657,1858,,2564.126834,394.2262186,1858.495031,175.5797444,839.8012305,1128.017037,66.25650734,43.06672977,548.2725982,18.22053952,491.954567,221.9592996,187.1746332,76.19498344,1088.263133,3077.614766,,5149.787033,858.2978388,,,,,,2653.371465,407.9472925,1923.180093,181.6908109,869.0305768,1167.277757,68.56257016,44.56567061,567.3552681,18.8547068,509.0770835,229.68461,193.6892607,78.84695569,1126.140215,3184.731384
9/13/2024,8,Aged_37B,18,F,4-WT-18,200,25,980,122.5,114.9469388,14081,184352,2171,615,1352,61,1538,932,42,93,494,8,442,173,181,82,701,3095,,3777.395071,1070.058945,2352.389745,106.1359278,2676.017328,1621.617783,73.07719622,161.8137916,859.5270222,13.91946595,769.0504936,301.0084511,314.9279171,142.674526,1219.693204,5385.093388,,8767.523613,1461.253936,,,,,,3908.867597,1107.302428,2434.264851,109.829997,2769.156317,1678.058314,75.62065365,167.4457331,889.4429263,14.40393403,795.8173551,311.4850734,325.8890074,147.6403238,1262.144719,5572.521977
9/13/2024,9,Aged_36A,18,M,4-WT-18,200,25,980,122.5,117.5673469,14402,92640,1174,183,903,35,548,604,49,60,342,10,292,114,126,46,981,2155,,1997.153173,311.310929,1536.140814,59.54034162,932.2316345,1027.496181,83.35647827,102.0691571,581.7941953,17.01152618,496.7365644,193.9313984,214.3452298,78.25302041,1668.830718,3665.983891,,5365.435356,894.239226,,,,,,2066.664243,322.1461298,1589.606313,61.61264778,964.6780282,1063.258265,86.2577069,105.6216819,602.0435869,17.60361365,514.0255187,200.6811956,221.805532,80.9766228,1726.914499,3793.578742
9/13/2024,10,Aged_36A,18,M,4-WT-18,200,25,980,122.5,117.3387755,14374,96240,1497,551,836,33,2216,865,22,61,606,5,564,258,267,28,1363,4318,,2551.586197,939.1609851,1424.933908,56.24739112,3777.097537,1474.363434,37.49826075,103.9724503,1032.906637,8.522331988,961.3190483,439.7523306,455.0925282,47.72505913,2323.1877,7359.885905,,9826.248783,1637.70813,,,,,,2640.394351,971.8485554,1474.528843,58.20508589,3908.559707,1525.678767,38.80339059,107.5912194,1068.857032,8.818952408,994.7778316,455.0579443,470.9320586,49.38613348,2404.046426,7616.0473
